Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-05-03,27.309999,28.049999,26.75,26.790001,26.790001,8095000,56
2022-05-04,28.780001,29.1,28.370001,29.01,29.01,7038100,57
2022-05-05,28.690001,30.24,27.870001,30.1,30.1,9567500,58
2022-05-06,29.290001,29.34,27.33,27.68,27.68,10416400,59
2022-05-09,26.18,26.209999,23.92,24.309999,24.309999,11750700,60
2022-05-10,23.190001,25.629999,23.17,24.790001,24.790001,13676700,61
2022-05-11,26.08,26.51,25.85,26.379999,26.379999,6614600,62
2022-05-12,25.629999,26.74,25.540001,26.48,26.48,5526100,63
2022-05-13,26.799999,26.809999,25.809999,26.27,26.27,4416900,64
2022-05-16,27.75,28.059999,26.33,27.4,27.4,6209200,65
2022-05-17,28.389999,28.690001,27.889999,28.440001,28.440001,5639900,66
2022-05-18,28.84,29.09,28.129999,28.49,28.49,4903200,67
2022-05-19,28.200001,29.129999,27.91,27.98,27.98,4421200,68
2022-05-20,27.48,28.1,27.450001,27.73,27.73,5513300,69
2022-05-23,27.91,30.209999,27.83,30.07,30.07,7068800,70
2022-05-24,30,30.290001,29.530001,30.120001,30.120001,5653200,71
2022-05-25,31.299999,31.99,30.110001,30.530001,30.530001,8696800,72
2022-05-26,30.67,32.029999,29.26,29.73,29.73,8044000,73
2022-05-27,28.51,29.860001,28.110001,29.58,29.58,6835900,74
2022-05-31,28.969999,29.129999,27.540001,27.91,27.91,7499900,75
2022-06-01,28.950001,29.82,28.690001,29.790001,29.790001,8712200,76
2022-06-02,30.379999,30.450001,28.43,28.790001,28.790001,8087500,77
2022-06-03,28.92,29.17,28.459999,28.959999,28.959999,4757300,78
2022-06-06,30.959999,31.870001,30.6,31.73,31.73,7857800,79
2022-06-07,31.549999,31.99,31.309999,31.719999,31.719999,6097100,80
2022-06-08,32.18,32.77,28.6,29.41,29.41,14716000,81
2022-06-09,27.4,30.620001,27.200001,30.370001,30.370001,11616800,82
2022-06-10,29.690001,30.280001,29.24,29.719999,29.719999,5912500,83
2022-06-13,30.110001,30.219999,28.43,29.41,29.41,6762400,84
2022-06-14,26.809999,26.93,23.76,24.719999,24.719999,18337300,85
2022-06-15,25.620001,26.09,24.780001,25.450001,25.450001,5054600,86
2022-06-16,26.790001,27.17,24.84,25.27,25.27,6572000,87
2022-06-17,24.92,25.049999,23.200001,23.68,23.68,7169800,88
2022-06-21,22.719999,23.629999,22.5,23.200001,23.200001,6257400,89
2022-06-22,22.799999,23.629999,22.639999,23.209999,23.209999,3220200,90
2022-06-23,22.93,23.09,21.219999,21.34,21.34,5977000,91
2022-06-24,21.129999,21.76,20.9,21.290001,21.290001,4388800,92
